Timestamp;datetime;Temperature;Humidity;CO2;Noise;Pressure
1513281882;"2017/12/14 21:04:42";22.2;34;645;38;930.3
1513282182;"2017/12/14 21:09:42";22.2;34;629;41;930.5
1513282485;"2017/12/14 21:14:45";22.1;34;635;38;930.4
1513282788;"2017/12/14 21:19:48";22.1;34;701;38;930.2
1513283091;"2017/12/14 21:24:51";22.1;34;617;40;930.2
1513283395;"2017/12/14 21:29:55";22.1;34;627;37;930.1
1513283698;"2017/12/14 21:34:58";22.1;34;621;36;930
1513284003;"2017/12/14 21:40:03";22.1;34;619;36;929.8
1513284306;"2017/12/14 21:45:06";22.1;34;603;37;929.9
1513284608;"2017/12/14 21:50:08";22.1;34;612;35;929.7
1513284911;"2017/12/14 21:55:11";22.1;34;597;37;929.6
1513285214;"2017/12/14 22:00:14";22.1;34;608;37;929.5
1513285517;"2017/12/14 22:05:17";22.1;34;619;36;929.3
1513285820;"2017/12/14 22:10:20";22.1;34;592;36;929.1
1513286123;"2017/12/14 22:15:23";22.1;34;580;35;929.1
1513286425;"2017/12/14 22:20:25";22;34;583;38;929
1513286728;"2017/12/14 22:25:28";22;34;585;35;929
1513287031;"2017/12/14 22:30:31";22;33;583;37;928.9
1513287334;"2017/12/14 22:35:34";22;33;566;36;928.9
1513287637;"2017/12/14 22:40:37";22;33;571;35;929.1
1513287940;"2017/12/14 22:45:40";22;33;568;35;929
1513288243;"2017/12/14 22:50:43";22;33;573;35;928.9
1513288546;"2017/12/14 22:55:46";22;33;562;35;928.8
1513288848;"2017/12/14 23:00:48";21.9;33;566;36;929
1513289151;"2017/12/14 23:05:51";21.9;33;560;36;929
1513289453;"2017/12/14 23:10:53";21.9;33;558;37;928.9
1513289756;"2017/12/14 23:15:56";21.9;33;565;36;928.9
1513290060;"2017/12/14 23:21:00";21.9;33;559;37;928.9
1513290363;"2017/12/14 23:26:03";21.9;33;572;37;929.1
1513290664;"2017/12/14 23:31:04";21.9;33;576;36;929.1
1513290967;"2017/12/14 23:36:07";21.9;33;569;35;929
1513291269;"2017/12/14 23:41:09";21.9;33;564;35;929
1513291572;"2017/12/14 23:46:12";21.9;33;563;35;928.8
1513291877;"2017/12/14 23:51:17";21.9;33;552;35;928.9
1513292180;"2017/12/14 23:56:20";21.9;33;546;37;928.9
1513292483;"2017/12/15 00:01:23";21.8;33;553;36;928.7
1513292786;"2017/12/15 00:06:26";21.8;33;550;35;928.7
1513293089;"2017/12/15 00:11:29";21.7;33;545;35;928.6
1513293392;"2017/12/15 00:16:32";21.7;33;554;35;928.1
1513293694;"2017/12/15 00:21:34";21.7;33;536;35;927.8
1513293997;"2017/12/15 00:26:37";21.7;33;524;36;927.8
1513294301;"2017/12/15 00:31:41";21.6;33;530;35;927.8
1513294603;"2017/12/15 00:36:43";21.6;33;526;35;927.6
1513294906;"2017/12/15 00:41:46";21.6;33;525;35;927.5
1513295209;"2017/12/15 00:46:49";21.6;33;555;35;927.4
1513295511;"2017/12/15 00:51:51";21.5;33;515;35;927.5
1513295814;"2017/12/15 00:56:54";21.5;33;504;35;927.6
1513296117;"2017/12/15 01:01:57";21.5;33;512;35;927.6
1513296420;"2017/12/15 01:07:00";21.5;33;512;35;927.5
1513296722;"2017/12/15 01:12:02";21.5;33;509;35;927.5
1513297025;"2017/12/15 01:17:05";21.4;33;505;35;927.7
1513297328;"2017/12/15 01:22:08";21.4;33;500;35;927.8
1513297631;"2017/12/15 01:27:11";21.4;33;501;35;928.5
1513297934;"2017/12/15 01:32:14";21.4;33;501;35;928.9
1513298237;"2017/12/15 01:37:17";21.4;33;504;35;928.8
1513298537;"2017/12/15 01:42:17";21.4;33;506;35;928.8
1513298840;"2017/12/15 01:47:20";21.4;33;487;35;928.7
1513299143;"2017/12/15 01:52:23";21.4;33;530;35;928.6
1513299446;"2017/12/15 01:57:26";21.4;33;496;35;928.5
1513299749;"2017/12/15 02:02:29";21.4;33;497;35;928.7
1513300052;"2017/12/15 02:07:32";21.3;33;488;35;928.7
1513300354;"2017/12/15 02:12:34";21.3;33;492;35;928.9
1513300657;"2017/12/15 02:17:37";21.3;33;491;35;929
1513300960;"2017/12/15 02:22:40";21.3;33;494;35;929.1
1513301263;"2017/12/15 02:27:43";21.3;33;489;35;929.1
1513301565;"2017/12/15 02:32:45";21.3;33;495;35;929.3
1513301868;"2017/12/15 02:37:48";21.3;33;498;35;929.6
1513302171;"2017/12/15 02:42:51";21.3;33;510;35;929.9
1513302474;"2017/12/15 02:47:54";21.3;33;494;35;929.8
1513302777;"2017/12/15 02:52:57";21.3;33;496;35;929.9
1513303079;"2017/12/15 02:57:59";21.3;33;506;35;930
1513303382;"2017/12/15 03:03:02";21.3;33;487;35;930.1
1513303685;"2017/12/15 03:08:05";21.2;33;490;35;930.3
1513303988;"2017/12/15 03:13:08";21.2;33;490;35;930.4
1513304290;"2017/12/15 03:18:10";21.2;33;495;35;930.5
1513304593;"2017/12/15 03:23:13";21.2;33;491;35;930.7
1513304896;"2017/12/15 03:28:16";21.2;33;495;35;930.8
1513305196;"2017/12/15 03:33:16";21.2;33;492;35;930.9
1513305498;"2017/12/15 03:38:18";21.2;33;486;35;930.7
1513305802;"2017/12/15 03:43:22";21.2;33;484;35;930.6
1513306105;"2017/12/15 03:48:25";21.2;33;468;35;930.6
1513306406;"2017/12/15 03:53:26";21.2;33;491;35;930.5
1513306709;"2017/12/15 03:58:29";21.2;33;483;35;930.3
1513307011;"2017/12/15 04:03:31";21.2;33;476;35;930.4
1513307314;"2017/12/15 04:08:34";21.2;33;488;35;930.7
1513307616;"2017/12/15 04:13:36";21.2;33;584;35;930.7
1513307919;"2017/12/15 04:18:39";21.2;33;495;35;930.9
1513308222;"2017/12/15 04:23:42";21.2;33;481;35;930.9
1513308525;"2017/12/15 04:28:45";21.2;33;484;35;931.2
1513308827;"2017/12/15 04:33:47";21.2;33;544;36;931.1
1513309130;"2017/12/15 04:38:50";21.2;33;496;35;931
1513309432;"2017/12/15 04:43:52";21.2;33;485;35;931
1513309735;"2017/12/15 04:48:55";21.2;33;531;35;931.1
1513310038;"2017/12/15 04:53:58";21.2;33;477;35;931.2
1513310341;"2017/12/15 04:59:01";21.2;33;480;35;931.2
1513310644;"2017/12/15 05:04:04";21.2;33;486;35;931.2
1513310947;"2017/12/15 05:09:07";21.2;33;506;35;931.2
1513311249;"2017/12/15 05:14:09";21.2;33;479;35;931.2
